,Date,Total expenditure,Total current consumption
0,2010-01-01,72075.0,54013.0
1,2011-01-01,73646.0,55227.0
2,2012-01-01,75695.0,56330.0
3,2013-01-01,79098.0,58576.0
4,2014-01-01,80727.0,59055.0
5,2015-01-01,82697.0,60516.0
6,2016-01-01,84489.0,62183.0
7,2017-01-01,86070.0,63723.0
8,2010-02-01,72075.0,54013.0
9,2011-02-01,73646.0,55227.0
10,2012-02-01,75695.0,56330.0
11,2013-02-01,79098.0,58576.0
12,2014-02-01,80727.0,59055.0
13,2015-02-01,82697.0,60516.0
14,2016-02-01,84489.0,62183.0
15,2017-02-01,86070.0,63723.0
16,2010-03-01,72075.0,54013.0
17,2011-03-01,73646.0,55227.0
18,2012-03-01,75695.0,56330.0
19,2013-03-01,79098.0,58576.0
20,2014-03-01,80727.0,59055.0
21,2015-03-01,82697.0,60516.0
22,2016-03-01,84489.0,62183.0
23,2017-03-01,86070.0,63723.0
24,2010-04-01,72075.0,54013.0
25,2011-04-01,73646.0,55227.0
26,2012-04-01,75695.0,56330.0
27,2013-04-01,79098.0,58576.0
28,2014-04-01,80727.0,59055.0
29,2015-04-01,82697.0,60516.0
30,2016-04-01,84489.0,62183.0
31,2017-04-01,86070.0,63723.0
32,2010-05-01,72075.0,54013.0
33,2011-05-01,73646.0,55227.0
34,2012-05-01,75695.0,56330.0
35,2013-05-01,79098.0,58576.0
36,2014-05-01,80727.0,59055.0
37,2015-05-01,82697.0,60516.0
38,2016-05-01,84489.0,62183.0
39,2017-05-01,86070.0,63723.0
40,2010-06-01,72075.0,54013.0
41,2011-06-01,73646.0,55227.0
42,2012-06-01,75695.0,56330.0
43,2013-06-01,79098.0,58576.0
44,2014-06-01,80727.0,59055.0
45,2015-06-01,82697.0,60516.0
46,2016-06-01,84489.0,62183.0
47,2017-06-01,86070.0,63723.0
48,2010-07-01,72075.0,54013.0
49,2011-07-01,73646.0,55227.0
50,2012-07-01,75695.0,56330.0
51,2013-07-01,79098.0,58576.0
52,2014-07-01,80727.0,59055.0
53,2015-07-01,82697.0,60516.0
54,2016-07-01,84489.0,62183.0
55,2017-07-01,86070.0,63723.0
56,2010-08-01,72075.0,54013.0
57,2011-08-01,73646.0,55227.0
58,2012-08-01,75695.0,56330.0
59,2013-08-01,79098.0,58576.0
60,2014-08-01,80727.0,59055.0
61,2015-08-01,82697.0,60516.0
62,2016-08-01,84489.0,62183.0
63,2017-08-01,86070.0,63723.0
64,2010-09-01,72075.0,54013.0
65,2011-09-01,73646.0,55227.0
66,2012-09-01,75695.0,56330.0
67,2013-09-01,79098.0,58576.0
68,2014-09-01,80727.0,59055.0
69,2015-09-01,82697.0,60516.0
70,2016-09-01,84489.0,62183.0
71,2017-09-01,86070.0,63723.0
72,2010-10-01,72075.0,54013.0
73,2011-10-01,73646.0,55227.0
74,2012-10-01,75695.0,56330.0
75,2013-10-01,79098.0,58576.0
76,2014-10-01,80727.0,59055.0
77,2015-10-01,82697.0,60516.0
78,2016-10-01,84489.0,62183.0
79,2017-10-01,86070.0,63723.0
80,2010-11-01,72075.0,54013.0
81,2011-11-01,73646.0,55227.0
82,2012-11-01,75695.0,56330.0
83,2013-11-01,79098.0,58576.0
84,2014-11-01,80727.0,59055.0
85,2015-11-01,82697.0,60516.0
86,2016-11-01,84489.0,62183.0
87,2017-11-01,86070.0,63723.0
88,2010-12-01,72075.0,54013.0
89,2011-12-01,73646.0,55227.0
90,2012-12-01,75695.0,56330.0
91,2013-12-01,79098.0,58576.0
92,2014-12-01,80727.0,59055.0
93,2015-12-01,82697.0,60516.0
94,2016-12-01,84489.0,62183.0
95,2017-12-01,86070.0,63723.0
