Date,Alberta,Atlantic Region,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
2010-01-01,92.7,93.6,94.5,80.2,97.3,92.9,90.6,75.7,101.2,93.9,93.3
2010-02-01,92.9,93.6,95.2,80.4,97.5,92.9,90.7,75.6,100.4,94.2,93.6
2010-03-01,93.3,93.6,96.2,80.9,97.5,92.9,90.8,76.1,99.8,94.6,93.9
2010-04-01,93.3,94.1,96.7,81.2,97.4,94.2,90.8,76.3,99.4,94.7,95.0
2010-05-01,93.7,94.4,97.0,81.5,97.9,94.5,90.9,76.9,99.8,94.2,96.3
2010-06-01,93.6,94.7,96.8,82.1,99.2,94.8,90.9,77.2,99.5,94.4,96.1
2010-07-01,93.6,94.7,96.4,82.4,99.2,94.8,90.9,77.1,99.2,94.4,96.1
2010-08-01,93.5,94.7,96.4,82.8,99.1,94.8,90.9,77.4,99.2,94.5,96.1
2010-09-01,93.6,94.7,95.8,82.8,99.2,94.8,90.9,77.4,99.2,94.8,96.1
2010-10-01,93.0,94.7,95.9,82.8,99.2,94.8,90.9,77.6,99.2,95.0,96.6
2010-11-01,92.8,96.1,95.6,82.8,99.0,97.8,91.8,78.1,98.7,94.8,96.6
2010-12-01,92.8,96.2,95.5,84.1,99.0,97.8,92.1,77.9,98.7,94.4,96.6
2011-01-01,92.8,96.2,95.5,84.4,98.8,97.9,92.1,78.2,98.7,95.0,96.7
2011-02-01,92.8,96.3,95.7,85.2,98.7,97.9,92.1,78.7,100.3,95.3,97.2
2011-03-01,92.7,96.4,96.0,85.5,99.1,97.9,92.1,78.9,100.3,95.4,97.2
2011-04-01,92.5,96.3,95.9,85.7,98.6,97.9,92.1,79.6,100.4,95.8,97.3
2011-05-01,92.8,96.2,96.2,85.8,98.6,97.7,92.1,80.2,100.7,96.2,97.6
2011-06-01,92.8,96.3,96.3,86.4,98.8,97.7,92.1,80.9,100.7,96.0,97.6
2011-07-01,92.4,96.4,96.3,86.6,98.9,97.5,92.3,81.1,102.0,95.9,97.6
2011-08-01,92.4,96.4,95.7,86.8,99.1,97.5,92.3,81.3,102.0,96.1,98.2
2011-09-01,92.9,96.6,95.7,87.6,98.7,97.5,93.1,81.5,101.9,96.1,98.4
2011-10-01,93.2,96.6,95.5,87.7,98.7,97.5,93.1,81.7,102.2,96.2,98.3
2011-11-01,93.1,96.6,95.2,88.0,98.7,97.5,93.1,82.3,102.2,96.7,99.4
2011-12-01,93.2,96.6,94.9,88.0,98.7,97.5,93.1,82.5,102.2,96.6,99.3
2012-01-01,93.2,96.4,95.0,88.1,98.7,97.0,93.1,82.6,101.9,96.6,99.6
2012-02-01,93.1,96.7,94.7,88.6,98.2,97.0,94.6,83.0,101.4,96.8,100.0
2012-03-01,93.6,96.9,94.4,88.9,98.2,97.5,94.6,83.5,101.4,97.0,99.9
2012-04-01,93.8,96.9,94.3,89.3,98.1,97.4,94.7,83.8,101.4,97.0,100.3
2012-05-01,93.9,97.0,94.3,89.5,97.9,97.6,94.8,84.3,100.9,97.1,100.5
2012-06-01,94.2,96.9,94.4,89.7,97.9,97.6,94.6,84.7,101.0,97.2,100.6
2012-07-01,94.3,97.4,94.4,90.0,97.7,98.3,95.3,84.7,101.2,97.3,100.6
2012-08-01,94.4,97.6,94.4,90.2,97.8,98.4,95.6,84.9,101.1,97.5,100.6
2012-09-01,94.7,97.5,94.1,90.6,98.0,98.1,95.5,85.3,101.2,97.5,100.6
2012-10-01,94.9,97.5,94.4,91.1,98.1,98.1,95.5,85.6,101.0,98.0,100.6
2012-11-01,94.9,97.6,93.9,91.5,97.8,98.1,96.1,85.9,101.0,98.2,100.7
